Incident Type,Institution,date,Incidents,Prison.Type
Total Use of Chemical Agents,Big Muddy River,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Big Muddy River,2021-06-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2020-07-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2020-08-01,1,Medium Security
Total Use of Chemical Agents,Centralia,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2020-11-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-02-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Centralia,2021-06-01,0,Medium Security
Total Use of Chemical Agents,Danville,2020-07-01,1,Medium Security
Total Use of Chemical Agents,Danville,2020-08-01,0,Medium Security
Total Use of Chemical Agents,Danville,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Danville,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Danville,2020-11-01,0,Medium Security
Total Use of Chemical Agents,Danville,2020-12-01,3,Medium Security
Total Use of Chemical Agents,Danville,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Danville,2021-02-01,1,Medium Security
Total Use of Chemical Agents,Danville,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Danville,2021-04-01,1,Medium Security
Total Use of Chemical Agents,Danville,2021-05-01,1,Medium Security
Total Use of Chemical Agents,Danville,2021-06-01,0,Medium Security
Total Use of Chemical Agents,Dixon,2020-07-01,13,Medium Security
Total Use of Chemical Agents,Dixon,2020-08-01,8,Medium Security
Total Use of Chemical Agents,Dixon,2020-09-01,11,Medium Security
Total Use of Chemical Agents,Dixon,2020-10-01,5,Medium Security
Total Use of Chemical Agents,Dixon,2020-11-01,13,Medium Security
Total Use of Chemical Agents,Dixon,2020-12-01,5,Medium Security
Total Use of Chemical Agents,Dixon,2021-01-01,6,Medium Security
Total Use of Chemical Agents,Dixon,2021-02-01,10,Medium Security
Total Use of Chemical Agents,Dixon,2021-03-01,6,Medium Security
Total Use of Chemical Agents,Dixon,2021-04-01,10,Medium Security
Total Use of Chemical Agents,Dixon,2021-05-01,5,Medium Security
Total Use of Chemical Agents,Dixon,2021-06-01,9,Medium Security
Total Use of Chemical Agents,Graham,2020-07-01,0,Medium Security
Total Use of Chemical Agents,Graham,2020-08-01,1,Medium Security
Total Use of Chemical Agents,Graham,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Graham,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Graham,2020-11-01,0,Medium Security
Total Use of Chemical Agents,Graham,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-02-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Graham,2021-06-01,1,Medium Security
Total Use of Chemical Agents,Hill,2020-07-01,4,Medium Security
Total Use of Chemical Agents,Hill,2020-08-01,0,Medium Security
Total Use of Chemical Agents,Hill,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Hill,2020-10-01,1,Medium Security
Total Use of Chemical Agents,Hill,2020-11-01,1,Medium Security
Total Use of Chemical Agents,Hill,2020-12-01,4,Medium Security
Total Use of Chemical Agents,Hill,2021-01-01,2,Medium Security
Total Use of Chemical Agents,Hill,2021-02-01,5,Medium Security
Total Use of Chemical Agents,Hill,2021-03-01,8,Medium Security
Total Use of Chemical Agents,Hill,2021-04-01,4,Medium Security
Total Use of Chemical Agents,Hill,2021-05-01,6,Medium Security
Total Use of Chemical Agents,Hill,2021-06-01,2,Medium Security
Total Use of Chemical Agents,Illinois River,2020-07-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2020-08-01,2,Medium Security
Total Use of Chemical Agents,Illinois River,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2020-11-01,3,Medium Security
Total Use of Chemical Agents,Illinois River,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2021-02-01,1,Medium Security
Total Use of Chemical Agents,Illinois River,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Illinois River,2021-06-01,1,Medium Security
Total Use of Chemical Agents,Lawrence,2020-07-01,1,Medium Security
Total Use of Chemical Agents,Lawrence,2020-08-01,4,Medium Security
Total Use of Chemical Agents,Lawrence,2020-09-01,5,Medium Security
Total Use of Chemical Agents,Lawrence,2020-10-01,4,Medium Security
Total Use of Chemical Agents,Lawrence,2020-11-01,1,Medium Security
Total Use of Chemical Agents,Lawrence,2020-12-01,5,Medium Security
Total Use of Chemical Agents,Lawrence,2021-01-01,3,Medium Security
Total Use of Chemical Agents,Lawrence,2021-02-01,4,Medium Security
Total Use of Chemical Agents,Lawrence,2021-03-01,1,Medium Security
Total Use of Chemical Agents,Lawrence,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Lawrence,2021-05-01,2,Medium Security
Total Use of Chemical Agents,Lawrence,2021-06-01,4,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-07-01,4,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-08-01,6,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-09-01,2,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-10-01,4,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-11-01,3,Medium Security
Total Use of Chemical Agents,Pinckneyville,2020-12-01,2,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-01-01,2,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-02-01,1,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-03-01,3,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-04-01,1,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-05-01,1,Medium Security
Total Use of Chemical Agents,Pinckneyville,2021-06-01,2,Medium Security
Total Use of Chemical Agents,Shawnee,2020-07-01,1,Medium Security
Total Use of Chemical Agents,Shawnee,2020-08-01,1,Medium Security
Total Use of Chemical Agents,Shawnee,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2020-11-01,1,Medium Security
Total Use of Chemical Agents,Shawnee,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2021-01-01,1,Medium Security
Total Use of Chemical Agents,Shawnee,2021-02-01,1,Medium Security
Total Use of Chemical Agents,Shawnee,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Shawnee,2021-06-01,2,Medium Security
Total Use of Chemical Agents,Sheridan,2020-07-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2020-08-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2020-09-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2020-10-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2020-11-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2020-12-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-01-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-02-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-03-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-04-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-05-01,0,Medium Security
Total Use of Chemical Agents,Sheridan,2021-06-01,0,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-07-01,6,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-08-01,1,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-09-01,5,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-10-01,2,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-11-01,3,Medium Security
Total Use of Chemical Agents,Western Illinois,2020-12-01,3,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-01-01,1,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-02-01,0,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-03-01,1,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-04-01,5,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-05-01,2,Medium Security
Total Use of Chemical Agents,Western Illinois,2021-06-01,4,Medium Security
Total Use of Chemical Agents,Decatur (Female),2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Decatur (Female),2021-06-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2020-09-01,1,Minimum Security
Total Use of Chemical Agents,East Moline,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2020-11-01,1,Minimum Security
Total Use of Chemical Agents,East Moline,2020-12-01,1,Minimum Security
Total Use of Chemical Agents,East Moline,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,East Moline,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2020-08-01,1,Minimum Security
Total Use of Chemical Agents,Elgin,2020-09-01,1,Minimum Security
Total Use of Chemical Agents,Elgin,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2021-03-01,32,Minimum Security
Total Use of Chemical Agents,Elgin,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Elgin,2021-05-01,1,Minimum Security
Total Use of Chemical Agents,Elgin,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Jacksonville,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Kewanee,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Joliet,2020-07-01,1,Minimum Security
Total Use of Chemical Agents,Joliet,2020-08-01,5,Minimum Security
Total Use of Chemical Agents,Joliet,2020-09-01,9,Minimum Security
Total Use of Chemical Agents,Joliet,2020-10-01,8,Minimum Security
Total Use of Chemical Agents,Joliet,2020-11-01,10,Minimum Security
Total Use of Chemical Agents,Joliet,2020-12-01,4,Minimum Security
Total Use of Chemical Agents,Joliet,2021-01-01,8,Minimum Security
Total Use of Chemical Agents,Joliet,2021-02-01,8,Minimum Security
Total Use of Chemical Agents,Joliet,2021-03-01,4,Minimum Security
Total Use of Chemical Agents,Joliet,2021-04-01,7,Minimum Security
Total Use of Chemical Agents,Joliet,2021-05-01,5,Minimum Security
Total Use of Chemical Agents,Joliet,2021-06-01,11,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-08-01,1,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-09-01,1,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Lincoln,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2020-12-01,1,Minimum Security
Total Use of Chemical Agents,Robinson,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Robinson,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Southwestern Illinois,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2020-12-01,1,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-02-01,1,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-05-01,1,Minimum Security
Total Use of Chemical Agents,Taylorville,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-07-01,1,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-03-01,1,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-05-01,1,Minimum Security
Total Use of Chemical Agents,Vandalia,2021-06-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-07-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-08-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-09-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-10-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-11-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2020-12-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-01-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-02-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-03-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-04-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-05-01,0,Minimum Security
Total Use of Chemical Agents,Vienna,2021-06-01,0,Minimum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-07-01,0,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-08-01,2,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-09-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-10-01,2,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-11-01,0,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2020-12-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-01-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-02-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-03-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-04-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-05-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Logan (Female),2021-06-01,2,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-07-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-08-01,4,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-09-01,6,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-10-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-11-01,7,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2020-12-01,6,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-01-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-02-01,16,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-03-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-04-01,8,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-05-01,8,Maximum Security
Use of Chemical Agents - Non Self-Harm,Menard,2021-06-01,7,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-07-01,9,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-08-01,7,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-09-01,9,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-10-01,9,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-11-01,6,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2020-12-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-01-01,2,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-02-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-03-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-04-01,4,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-05-01,8,Maximum Security
Use of Chemical Agents - Non Self-Harm,Pontiac,2021-06-01,9,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-07-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-08-01,6,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-09-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-10-01,12,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-11-01,4,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2020-12-01,7,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-01-01,3,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-02-01,0,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-03-01,5,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-04-01,4,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-05-01,2,Maximum Security
Use of Chemical Agents - Non Self-Harm,Stateville,2021-06-01,1,Maximum Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-07-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-08-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-09-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-10-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-11-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2020-12-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-01-01,0,Medium Security
Use of Chemical Agents - Non Self-Harm,Big Muddy River,2021-02-01,0,Medium Security
